PS Code,Regional c,PS Name,ConstCode,DistCode,RegCode,EACode,Latitude,Longitude,Plus code,GhPostGPS,GhanaPostGPS
H010101,H,D/A PRIM. SCH.KAMIREKROM,H0101,GH0102,GH01,H01010,6.5294782,-2.4999918,6CRVGGH2+Q2R3,#,Address not found
H010102,H,D/A JHS KAMIREKROM,H0101,GH0102,GH01,H01010,6.5294782,-2.4999918,6CRVGGH2+Q2R3,#,Address not found
H010103,H,COCOA SHED ADOMAKOKROM,H0101,GH0102,GH01,H01010,6.5294782,-2.4999918,6CRVGGH2+Q2R3,#,Address not found
H010104,H,D/A PRIM. SCH. MFREKROM,H0101,GH0102,GH01,H01010,6.5294782,-2.4999918,6CRVGGH2+Q2R3,#,Address not found
H010105,H,D/A PRIM. SCH. DOMEABRA,H0101,GH0102,GH01,H01010,6.5294782,-2.4999918,6CRVGGH2+Q2R3,#,Address not found
H010201,H,ANGLICAN PRIM. SCH. KUKUOM,H0101,GH0102,GH01,H01020,6.6925346,-2.4431102,6CRVMHV4+2Q67,#,Address not found
H010202,H,BETHANY  CHURCH KUKUOM,H0101,GH0102,GH01,H01020,6.6925346,-2.4431102,6CRVMHV4+2Q67,#,Address not found
H010203,H,ISLAMIC PRIM. SCH. KUKUOM,H0101,GH0102,GH01,H01020,6.6925346,-2.4431102,6CRVMHV4+2Q67,#,Address not found
